,TEDAVISURESI_SEANS_SAYI
UYGULAMASURESI_DAKIKA_SCALED,0.07770102989604029
UYGULAMASURESI_DAKIKA,0.0777010298960399
KRONIKHASTALIK_COUNT_ENCODED,0.07044872949384207
KRONIKHASTALIK_COUNT_ENCODED_SCALED,0.070448729493842
KRONIKHASTALIK_HASH_5,-0.06724357379491673
KRONIKHASTALIK_HASH_5_SCALED,-0.06724357379491662
TEDAVIADI_HASH_1,-0.06640173817248603
TEDAVIADI_HASH_1_SCALED,-0.06640173817248586
ALERJI_BINARY_0,0.06463049637261627
ALERJI_BINARY_0_SCALED,0.06463049637261621
KRONIKHASTALIK_HASH_3,-0.0637004992209982
KRONIKHASTALIK_HASH_3_SCALED,-0.06370049922099799
TEDAVIADI_HASH_4,0.06308025202575707
TEDAVIADI_HASH_4_SCALED,0.06308025202575702
KRONIKHASTALIK_HASH_1,0.061883887065340606
KRONIKHASTALIK_HASH_1_SCALED,0.061883887065340426
KRONIKHASTALIK_HASH_7_SCALED,0.06018188923909232
KRONIKHASTALIK_HASH_7,0.06018188923909213
UYGULAMAYERLERI_BINARY_3_SCALED,0.05845375763612435
UYGULAMAYERLERI_BINARY_3,0.05845375763612425
ALERJI_SAYI_SCALED,-0.058048777380566983
ALERJI_SAYI,-0.05804877738056673
EN_SIK_TEDAVI_HASH_4,0.05689574439214043
EN_SIK_TEDAVI_HASH_4_SCALED,0.05689574439214023
KRONIKHASTALIK_HASH_2_SCALED,0.056116651323758794
KRONIKHASTALIK_HASH_2,0.05611665132375878
EN_SIK_TEDAVI_HASH_3_SCALED,0.055234882016781034
EN_SIK_TEDAVI_HASH_3,0.05523488201678096
HAS_CARDIAC,0.05190094884464936
HASTANO,0.05184838581849531
TANILAR_HASH_2_SCALED,0.050454643875438805
TANILAR_HASH_2,0.05045464387543874
EN_SIK_TEDAVI_HASH_7_SCALED,0.050140421274836866
EN_SIK_TEDAVI_HASH_7,0.05014042127483676
TEDAVIADI_HASH_3_SCALED,0.04694284012594968
TEDAVIADI_HASH_3,0.046942840125949445
TANILAR_TFIDF_sendromu,0.0459941299648353
TANILAR_TFIDF_sendromu_SCALED,0.0459941299648353
TEDAVIADI_HASH_6,0.045647995842442106
TEDAVIADI_HASH_6_SCALED,0.04564799584244204
TANILAR_TFIDF_servi_SCALED,0.04456242304249374
TANILAR_TFIDF_servi,0.04456242304249365
ALERJI_BINARY_3_SCALED,0.04368852862247373
ALERJI_BINARY_3,0.0436885286224737
TEDAVIADI_TFIDF_boyun,0.04275176663211861
TEDAVIADI_TFIDF_boyun_SCALED,0.04275176663211856
EN_SIK_TEDAVI_HASH_5,-0.04156280646830984
EN_SIK_TEDAVI_HASH_5_SCALED,-0.041562806468309836
TEDAVIADI_TFIDF_omuz_SCALED,0.04146268361919015
TEDAVIADI_TFIDF_omuz,0.04146268361918992
TEDAVIADI_HASH_5_SCALED,-0.04136422809262177
TEDAVIADI_HASH_5,-0.041364228092621545
RISK_SKORU,0.04060113316173471
RISK_SKORU_SCALED,0.040601133161734644
TEDAVIADI_TFIDF_bozukluğu_SCALED,0.040371077088482504
TEDAVIADI_TFIDF_bozukluğu,0.040371077088482483
TEDAVIADI_TFIDF_sk,0.040266785460504856
TEDAVIADI_TFIDF_sk_SCALED,0.0402667854605046
HAS_MUSCULAR_DYSTROPHY,-0.03943390652084616
TEDAVIADI_TFIDF_bel_SCALED,0.03853452654728238
TEDAVIADI_TFIDF_bel,0.03853452654728226
HAS_RESPIRATORY,0.03850063330142019
UYGULAMAYERLERI_BINARY_5,0.0355007524823874
UYGULAMAYERLERI_BINARY_5_SCALED,0.03550075248238734
IS_OTHER,0.03473626596207921
TANILAR_HASH_4,-0.033719236226020494
TANILAR_HASH_4_SCALED,-0.0337192362260204
TEDAVIADI_TFIDF_sağ,0.03276922812901724
TEDAVIADI_TFIDF_sağ_SCALED,0.032769228129017156
CINSIYET_LABEL_ENCODED,0.03269163300816095
CINSIYET_LABEL_ENCODED_SCALED,0.03269163300816092
TANILAR_TFIDF_bozuklukları,-0.032333350588311216
TANILAR_TFIDF_bozuklukları_SCALED,-0.032333350588311195
ALERJI_BINARY_2,0.03232254605945745
ALERJI_BINARY_2_SCALED,0.032322546059457447
IS_PHYSIOTHERAPY,-0.03128440534318586
EN_SIK_TEDAVI_HASH_6_SCALED,0.030352405714983245
EN_SIK_TEDAVI_HASH_6,0.03035240571498319
MULTI_MORBIDITY_FLAG,-0.030343002870186694
UYGULAMAYERLERI_SAYI,-0.02970862191160568
UYGULAMAYERLERI_SAYI_SCALED,-0.02970862191160509
KANGRUBU_POSITIVE,0.02941520382561591
TANI_SAYI,0.02865201295157605
TANI_SAYI_SCALED,0.028652012951575965
TANILAR_HASH_7_SCALED,-0.0279678441515051
TANILAR_HASH_7,-0.02796784415150508
TANILAR_HASH_3_SCALED,0.027832324217193814
TANILAR_HASH_3,0.027832324217193772
ALERJI_BINARY_4_SCALED,-0.026871498080260896
ALERJI_BINARY_4,-0.026871498080260847
KRONIKHASTALIK_TFIDF_girdle,-0.025253277938460984
KRONIKHASTALIK_TFIDF_limb,-0.025253277938460984
KRONIKHASTALIK_TFIDF_girdle_SCALED,-0.025253277938460862
KRONIKHASTALIK_TFIDF_limb_SCALED,-0.025253277938460862
TEDAVIADI_HASH_7_SCALED,0.019553018250284545
TEDAVIADI_HASH_7,0.019553018250284448
UYGULAMAYERLERI_BINARY_1_SCALED,0.017193033517180042
UYGULAMAYERLERI_BINARY_1,0.01719303351717992
KRONIKHASTALIK_HASH_6,-0.017189658993908345
KRONIKHASTALIK_HASH_6_SCALED,-0.01718965899390828
TANILAR_TFIDF_ve_SCALED,-0.015153990718215367
TANILAR_TFIDF_ve,-0.015153990718215367
UYGULAMAYERLERI_BINARY_0,-0.013655003012050103
UYGULAMAYERLERI_BINARY_0_SCALED,-0.013655003012050065
IS_ORTHOPEDIC,-0.013400211589498898
YAS,-0.013252078519819592
YAS_SCALED,-0.013252078519819516
KRONIKHASTALIK_TFIDF_astım,0.012231362251225444
KRONIKHASTALIK_TFIDF_astım_SCALED,0.012231362251225326
HAS_THYROID,-0.01211414917030955
TANILAR_HASH_5_SCALED,-0.011846967078162001
TANILAR_HASH_5,-0.011846967078161998
TEDAVIADI_HASH_0,-0.010879170655438565
TEDAVIADI_HASH_0_SCALED,-0.010879170655438555
KRONIKHASTALIK_TFIDF_musküler_SCALED,-0.010782691328305496
KRONIKHASTALIK_TFIDF_musküler,-0.010782691328305406
TANILAR_TFIDF_tanımlanmamış,-0.009659821748605732
TANILAR_TFIDF_tanımlanmamış_SCALED,-0.009659821748605657
KRONIKHASTALIK_SAYI_SCALED,-0.009379731072498872
KRONIKHASTALIK_SAYI,-0.009379731072498836
TANILAR_HASH_0,0.007528574445370218
TANILAR_HASH_0_SCALED,0.007528574445370181
TEDAVIADI_TFIDF_di_SCALED,0.0073792703296868675
TEDAVIADI_TFIDF_di,0.007379270329686843
TANILAR_HASH_6,-0.007350679877559154
TANILAR_HASH_6_SCALED,-0.007350679877559133
TEDAVIADI_TFIDF_sol,0.006536978022764337
TEDAVIADI_TFIDF_sol_SCALED,0.006536978022764308
IS_MASSAGE,0.005455153613588031
KRONIKHASTALIK_HASH_0,0.005070917609276728
KRONIKHASTALIK_HASH_0_SCALED,0.0050709176092766225
KRONIKHASTALIK_TFIDF_distrofisi,0.003583789646294014
KRONIKHASTALIK_TFIDF_distrofisi_SCALED,0.00358378964629399
TANILAR_HASH_1_SCALED,-0.003003326810936035
TANILAR_HASH_1,-0.0030033268109359757
EN_SIK_TEDAVI_HASH_0_SCALED,-0.0026033123507284467
EN_SIK_TEDAVI_HASH_0,-0.002603312350728425
KRONIKHASTALIK_TFIDF_hipotiroidizm,-0.0008335355433339828
KRONIKHASTALIK_TFIDF_hipotiroidizm_SCALED,-0.0008335355433339364
KRONIKHASTALIK_TFIDF_aritmi_SCALED,0.0005145359491580746
KRONIKHASTALIK_TFIDF_aritmi,0.0005145359491580292
IS_RESPIRATORY,
IS_ELECTROTHERAPY,
