Feature_Type,Feature_Name,Variables_Used,Target_Correlation,Description,Beneficial
Ratio,TEDAVISURESI_TOPLAM_DAKIKA_to_UYGULAMAYERLERI_TARGET_ENCODED_ratio,"TEDAVISURESI_TOPLAM_DAKIKA, UYGULAMAYERLERI_TARGET_ENCODED",0.5216567582512583,Ratio of TEDAVISURESI_TOPLAM_DAKIKA to UYGULAMAYERLERI_TARGET_ENCODED,False
Ratio,TEDAVISURESI_TOPLAM_SAAT_to_UYGULAMAYERLERI_TARGET_ENCODED_ratio,"TEDAVISURESI_TOPLAM_SAAT, UYGULAMAYERLERI_TARGET_ENCODED",0.5216567582512579,Ratio of TEDAVISURESI_TOPLAM_SAAT to UYGULAMAYERLERI_TARGET_ENCODED,False
Interaction,TEDAVISURESI_SEANS_SAYI_SCALED_x_UYGULAMAYERLERI_TARGET_ENCODED_SCALED_interaction,"TEDAVISURESI_SEANS_SAYI_SCALED, UYGULAMAYERLERI_TARGET_ENCODED_SCALED",-0.4766277799031756,Product of TEDAVISURESI_SEANS_SAYI_SCALED and UYGULAMAYERLERI_TARGET_ENCODED_SCALED,False
Interaction,TEDAVISURESI_TOPLAM_DAKIKA_SCALED_x_UYGULAMAYERLERI_TARGET_ENCODED_SCALED_interaction,"TEDAVISURESI_TOPLAM_DAKIKA_SCALED, UYGULAMAYERLERI_TARGET_ENCODED_SCALED",-0.41088896651990375,Product of TEDAVISURESI_TOPLAM_DAKIKA_SCALED and UYGULAMAYERLERI_TARGET_ENCODED_SCALED,False
Interaction,TEDAVISURESI_TOPLAM_SAAT_SCALED_x_UYGULAMAYERLERI_TARGET_ENCODED_SCALED_interaction,"TEDAVISURESI_TOPLAM_SAAT_SCALED, UYGULAMAYERLERI_TARGET_ENCODED_SCALED",-0.4108889665199037,Product of TEDAVISURESI_TOPLAM_SAAT_SCALED and UYGULAMAYERLERI_TARGET_ENCODED_SCALED,False
Ratio,UYGULAMAYERLERI_TARGET_ENCODED_SCALED_to_UYGULAMAYERLERI_TARGET_ENCODED_ratio,"UYGULAMAYERLERI_TARGET_ENCODED_SCALED, UYGULAMAYERLERI_TARGET_ENCODED",0.3810370070526681,Ratio of UYGULAMAYERLERI_TARGET_ENCODED_SCALED to UYGULAMAYERLERI_TARGET_ENCODED,False
Interaction,TEDAVISURESI_TOPLAM_DAKIKA_x_UYGULAMAYERLERI_TARGET_ENCODED_SCALED_interaction,"TEDAVISURESI_TOPLAM_DAKIKA, UYGULAMAYERLERI_TARGET_ENCODED_SCALED",0.14282135204804522,Product of TEDAVISURESI_TOPLAM_DAKIKA and UYGULAMAYERLERI_TARGET_ENCODED_SCALED,False
Interaction,TEDAVISURESI_TOPLAM_SAAT_x_UYGULAMAYERLERI_TARGET_ENCODED_SCALED_interaction,"TEDAVISURESI_TOPLAM_SAAT, UYGULAMAYERLERI_TARGET_ENCODED_SCALED",0.14282135204804514,Product of TEDAVISURESI_TOPLAM_SAAT and UYGULAMAYERLERI_TARGET_ENCODED_SCALED,False
Interaction,TEDAVISURESI_TOPLAM_SAAT_SCALED_x_TEDAVISURESI_TOPLAM_DAKIKA_SCALED_interaction,"TEDAVISURESI_TOPLAM_SAAT_SCALED, TEDAVISURESI_TOPLAM_DAKIKA_SCALED",0.11513719538719844,Product of TEDAVISURESI_TOPLAM_SAAT_SCALED and TEDAVISURESI_TOPLAM_DAKIKA_SCALED,False
Interaction,TEDAVISURESI_SEANS_SAYI_SCALED_x_TEDAVISURESI_TOPLAM_SAAT_SCALED_interaction,"TEDAVISURESI_SEANS_SAYI_SCALED, TEDAVISURESI_TOPLAM_SAAT_SCALED",-0.07813158940207948,Product of TEDAVISURESI_SEANS_SAYI_SCALED and TEDAVISURESI_TOPLAM_SAAT_SCALED,False
Interaction,TEDAVISURESI_SEANS_SAYI_SCALED_x_TEDAVISURESI_TOPLAM_DAKIKA_SCALED_interaction,"TEDAVISURESI_SEANS_SAYI_SCALED, TEDAVISURESI_TOPLAM_DAKIKA_SCALED",-0.07813158940207932,Product of TEDAVISURESI_SEANS_SAYI_SCALED and TEDAVISURESI_TOPLAM_DAKIKA_SCALED,False
Ratio,TEDAVISURESI_TOPLAM_DAKIKA_to_TEDAVISURESI_TOPLAM_SAAT_ratio,"TEDAVISURESI_TOPLAM_DAKIKA, TEDAVISURESI_TOPLAM_SAAT",-0.04979306307284843,Ratio of TEDAVISURESI_TOPLAM_DAKIKA to TEDAVISURESI_TOPLAM_SAAT,False
